Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,Points
1. ‘পূর্বাশা’ পত্রিকার সম্পাদক ছিলেন—,মুন্সী মেহেরুল্লা,সঞ্জয় ভট্টাচার্য,কামিনী রায়,মােজাম্মেল হক,সঞ্জয় ভট্টাচার্য,1
2. পাহাড়তলী গ্রামে জন্মগ্রহণ করেন—,মুকুন্দরাম চক্রবর্তী,সৈয়দ শামসুল হক,শামসুর রাহমান,সঠিক উত্তর নেই.,শামসুর রাহমান,1
3. ‘সাহচর্য’ শব্দের শুদ্ধ গঠন কোনটি?,সহ + চর + র্য,সহচর + ৎ ফলা,সহচর + য,কোনটিই নয়,সহচর + য,1
4. রবীন্দ্রনাথের ‘সােনার তরী’ কবিতা কোন ছন্দে রচিত?,স্বরবৃত্ত,কায় অক্ষরবৃত্ত,মন্দাক্রান্তা,মাত্রাবৃত্ত,মাত্রাবৃত্ত,1
5. নিচের কোনটি মীর মশাররফ হােসেনের জন্ম-মৃত্যু সাল?,১৮৪৭-১৯১১,১৮৫২-১৯১২,১৮৫৭-১৯১১,১৮৪৭-১৯১২,১৮৪৭-১৯১১,1
6. অপ’ কী ধরনের উপসর্গ?,সংস্কৃত,বাংলায়,বিদেশি,মিশ্র.,সংস্কৃত,1
7. নিচের কোনটি অঘােষ অল্পপ্রাণ ধ্বনি?,ভ,ঠ,ফ,চ,চ,1
8. কাঁঠালপাড়ায় জন্মগ্রহণ করেন কোন লেখক?,শরৎচন্দ্র চট্টোপাধ্যায়,সুভাষ মুখােপাধ্যায়,কাজী ইমদাদুল হক,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,বঙ্কিমচন্দ্র চট্টোপাধ্যায়,1
9. বাংলা ভাষায় ছন্দ প্রধানত কত প্রকার?,২ প্রকার,৪ প্রকার,৩ প্রকার,৫ প্রকার,৩ প্রকার,1
10. ঠাকুরমার ঝুলি’ কী জাতীয় রচনার সংকলন?,রুপকথা,ছােটগল্প,গ্রাম্যগীতিকা,রূপকথা-উপকথায়,রুপকথা,1
